"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1423","should display correct item names in cart","webkit","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","626","should display correct item names in cart","chromium","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","5472","should display correct number of items in cart","webkit","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","2068","should display correct number of items in cart","firefox","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","905","should display correct item names in cart","firefox","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","839","should display correct number of items in cart","chromium","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","617","should display correct cart page title","chromium","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","932","should display correct cart page title","firefox","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
"","1415","should display correct cart page title","webkit","2026-08-25","passed","2026-08-25","","web/3.cart.spec.ts","",""
