"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","893","Should add an item to the cart","firefox","2026-09-08","passed","2026-09-08","","web/2.inventory.spec.ts","",""
"","6011","Should display inventory items after login","webkit","2026-09-08","passed","2026-09-08","","web/2.inventory.spec.ts","",""
"","579","Should add an item to the cart","chromium","2026-09-08","passed","2026-09-08","","web/2.inventory.spec.ts","",""
"","1418","Should add an item to the cart","webkit","2026-09-08","passed","2026-09-08","","web/2.inventory.spec.ts","",""
"","652","Should display inventory items after login","chromium","2026-09-08","passed","2026-09-08","","web/2.inventory.spec.ts","",""
"","1910","Should display inventory items after login","firefox","2026-09-08","passed","2026-09-08","","web/2.inventory.spec.ts","",""
