"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1779","Should login successfully with valid credentials","firefox","2026-08-25","passed","2026-08-25","","web/1.login.spec.ts","",""
"","812","Should login successfully with valid credentials","chromium","2026-08-25","passed","2026-08-25","","web/1.login.spec.ts","",""
"","453","Should show error with invalid credentials","chromium","2026-08-25","passed","2026-08-25","","web/1.login.spec.ts","",""
"","8733","Should login successfully with valid credentials","webkit","2026-08-25","passed","2026-08-25","","web/1.login.spec.ts","",""
"","778","Should show error with invalid credentials","firefox","2026-08-25","passed","2026-08-25","","web/1.login.spec.ts","",""
"","894","Should show error with invalid credentials","webkit","2026-08-25","passed","2026-08-25","","web/1.login.spec.ts","",""
